Buy,ID,Gender,Status,Children,Est_Income,Age,MARITAL STATUS,PROFESSION,EDUCATION,BUYER CATEGORY,LTV,DEMOGRAPHIC CLUSTER,ONLINE BEHAVIOR CLUSTER,BUYING BEHAVIOR CLUSTER,Retailer country,Retailer type,Product line,Product type,Product,Year,Quarter,Gross margin,State
No,1,F,S,1,38000.0,24.393333,S,Missing,Missing,,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,VISITOR,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,2021,Q1 2021,0.34754797,Washington
Yes,6,M,M,2,29616.0,49.426667,S,Missing,Missing,,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,VISITOR,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Double Flame,2021,Q1 2021,0.4742745,Arizona
Yes,8,M,M,0,19732.8,50.673333,S,Private Sector,High School,,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,VISITOR,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Tents,Star Dome,2021,Q1 2021,0.35277197,Nevada
No,11,M,S,2,96.33,56.473333,S,Private Sector,High School,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Tents,Star Gazer 2,2021,Q1 2021,0.28293788,California
No,14,F,M,2,52004.8,25.14,U,Pharmacist,Post College,Visitor,LOW VALUE,MARRIED WOMEN,VISITOR,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Lite,2021,Q1 2021,0.29145017,Washington
No,17,M,M,2,53010.8,18.84,U,Private Sector,High School,Product Viewer,HIGH VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Extreme,2021,Q1 2021,0.39814629,Oregon
Yes,18,M,M,1,75004.5,64.8,M,Engineer,College,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Camp Cot,2021,Q1 2021,0.33560737,Oregon
Yes,21,M,M,0,19749.3,60.366667,U,Engineer,Post College,Product Viewer,HIGH VALUE,MARRIED MEN,PRODUCT VIEWER,ONLINE HIGH VALUE OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Lanterns,Firefly Lite,2021,Q1 2021,0.52896022,Arizona
No,22,M,S,1,57626.9,43.906667,S,Engineer,Post College,Repeat Buyer,HIGH VALUE,HIGH INCOME SINGLE,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Lanterns,Firefly Extreme,2021,Q1 2021,0.43420523,Oregon
Yes,23,M,M,2,20078.0,32.846667,S,Pharmacist,Post College,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Single,2021,Q1 2021,0.46149254,Oregon
No,24,F,M,2,47902.0,26.033333,M,Engineer,College,Product Viewer,MEDIUM VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Butane,2021,Q1 2021,0.36186587,California
No,29,M,M,1,7545.96,16.753333,M,Professor,Post College,Product Viewer,HIGH VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 50,2021,Q1 2021,0.32905585,California
